target,source,flow
Alaska,Alabama,576
Arizona,Alabama,1022
Arkansas,Alabama,495
California,Alabama,6611
Colorado,Alabama,2177
Connecticut,Alabama,566
Delaware,Alabama,0
District of Columbia ,Alabama,97
Florida,Alabama,16631
Georgia,Alabama,23008
Hawaii,Alabama,1695
Idaho,Alabama,212
Illinois,Alabama,3707
Indiana,Alabama,1445
Iowa,Alabama,671
Kansas,Alabama,1261
Kentucky,Alabama,1590
Louisiana,Alabama,1508
Maine,Alabama,151
Maryland,Alabama,1903
Massachusetts,Alabama,330
Michigan,Alabama,2195
Minnesota,Alabama,122
Mississippi,Alabama,7602
Missouri,Alabama,2746
Montana,Alabama,294
Nebraska,Alabama,33
Nevada,Alabama,254
New Hampshire,Alabama,0
New Jersey,Alabama,812
New Mexico,Alabama,826
New York,Alabama,3047
North Carolina,Alabama,6419
North Dakota,Alabama,0
Ohio,Alabama,2694
Oklahoma,Alabama,1169
Oregon,Alabama,498
Pennsylvania,Alabama,1008
Rhode Island,Alabama,0
South Carolina,Alabama,2952
South Dakota,Alabama,52
Tennessee,Alabama,9960
Texas,Alabama,7689
Utah,Alabama,525
Vermont,Alabama,0
Virginia,Alabama,3535
Washington,Alabama,677
West Virginia,Alabama,42
Wisconsin,Alabama,874
Wyoming,Alabama,539
Alabama,Alaska,423
Arizona,Alaska,1176
Arkansas,Alaska,65
California,Alaska,3593
Colorado,Alaska,1401
Connecticut,Alaska,0
Delaware,Alaska,79
District of Columbia ,Alaska,0
Florida,Alaska,1100
Georgia,Alaska,2208
Hawaii,Alaska,561
Idaho,Alaska,361
Illinois,Alaska,715
Indiana,Alaska,126
Iowa,Alaska,142
Kansas,Alaska,1831
Kentucky,Alaska,703
Louisiana,Alaska,273
Maine,Alaska,147
Maryland,Alaska,0
Massachusetts,Alaska,44
Michigan,Alaska,133
Minnesota,Alaska,236
Mississippi,Alaska,92
Missouri,Alaska,281
Montana,Alaska,832
Nebraska,Alaska,0
Nevada,Alaska,534
New Hampshire,Alaska,32
New Jersey,Alaska,270
New Mexico,Alaska,198
New York,Alaska,910
North Carolina,Alaska,714
North Dakota,Alaska,58
Ohio,Alaska,100
Oklahoma,Alaska,806
Oregon,Alaska,1301
Pennsylvania,Alaska,574
Rhode Island,Alaska,0
South Carolina,Alaska,281
South Dakota,Alaska,370
Tennessee,Alaska,243
Texas,Alaska,1675
Utah,Alaska,725
