target,source,flow
Alabama,Alaska,767
Alabama,Arizona,1865
Alabama,Arkansas,2329
Alabama,California,3397
Alabama,Colorado,1927
Alabama,Connecticut,894
Alabama,Delaware,77
Alabama,District of Columbia ,521
Alabama,Florida,15755
Alabama,Georgia,27433
Alabama,Hawaii,399
Alabama,Idaho,0
Alabama,Illinois,2400
Alabama,Indiana,1184
Alabama,Iowa,478
Alabama,Kansas,1277
Alabama,Kentucky,1365
Alabama,Louisiana,1566
Alabama,Maine,97
Alabama,Maryland,1435
Alabama,Massachusetts,446
Alabama,Michigan,2540
Alabama,Minnesota,193
Alabama,Mississippi,7442
Alabama,Missouri,1174
Alabama,Montana,120
Alabama,Nebraska,339
Alabama,Nevada,539
Alabama,New Hampshire,166
Alabama,New Jersey,193
Alabama,New Mexico,773
Alabama,New York,2061
Alabama,North Carolina,3974
Alabama,North Dakota,1162
Alabama,Ohio,1513
Alabama,Oklahoma,725
Alabama,Oregon,593
Alabama,Pennsylvania,2690
Alabama,Rhode Island,43
Alabama,South Carolina,1968
Alabama,South Dakota,103
Alabama,Tennessee,7206
Alabama,Texas,6469
Alabama,Utah,362
Alabama,Vermont,173
Alabama,Virginia,4772
Alabama,Washington,871
Alabama,West Virginia,445
Alabama,Wisconsin,491
Alabama,Wyoming,164
Alaska,Alabama,279
Alaska,Arizona,658
Alaska,Arkansas,73
Alaska,California,3062
Alaska,Colorado,1815
Alaska,Connecticut,109
Alaska,Delaware,0
Alaska,District of Columbia ,0
Alaska,Florida,1473
Alaska,Georgia,1044
Alaska,Hawaii,732
Alaska,Idaho,544
Alaska,Illinois,819
Alaska,Indiana,138
Alaska,Iowa,193
Alaska,Kansas,434
Alaska,Kentucky,238
Alaska,Louisiana,210
Alaska,Maine,17
Alaska,Maryland,444
Alaska,Massachusetts,449
Alaska,Michigan,955
Alaska,Minnesota,1173
Alaska,Mississippi,0
Alaska,Missouri,905
Alaska,Montana,461
Alaska,Nebraska,233
Alaska,Nevada,2129
Alaska,New Hampshire,338
Alaska,New Jersey,0
Alaska,New Mexico,766
Alaska,New York,1028
Alaska,North Carolina,2078
Alaska,North Dakota,71
Alaska,Ohio,408
Alaska,Oklahoma,780
Alaska,Oregon,1389
Alaska,Pennsylvania,263
Alaska,Rhode Island,0
Alaska,South Carolina,873
Alaska,South Dakota,312
Alaska,Tennessee,133
Alaska,Texas,2196
Alaska,Utah,337
Alaska,Vermont,53
Alaska,Virginia,521
Alaska,Washington,3988
Alaska,West Virginia,0
Alaska,Wisconsin,161
Alaska,Wyoming,414
Arizona,Alabama,607
Arizona,Alaska,2519
Arizona,Arkansas,553
Arizona,California,54646
Arizona,Colorado,11039
Arizona,Connecticut,2417
Arizona,Delaware,927
Arizona,District of Columbia ,330
Arizona,Florida,7833
Arizona,Georgia,3671
Arizona,Hawaii,2069
Arizona,Idaho,2835
Arizona,Illinois,11017
Arizona,Indiana,4087
Arizona,Iowa,3963
Arizona,Kansas,2625
Arizona,Kentucky,3599
Arizona,Louisiana,1801
Arizona,Maine,780
Arizona,Maryland,2105
Arizona,Massachusetts,3030
Arizona,Michigan,9069
Arizona,Minnesota,8499
Arizona,Mississippi,544
Arizona,Missouri,4069
Arizona,Montana,1798
Arizona,Nebraska,986
Arizona,Nevada,7153
Arizona,New Hampshire,445
Arizona,New Jersey,2782
Arizona,New Mexico,8030
Arizona,New York,5564
Arizona,North Carolina,5323
Arizona,North Dakota,1150
Arizona,Ohio,5147
Arizona,Oklahoma,3906
Arizona,Oregon,7163
Arizona,Pennsylvania,3910
Arizona,Rhode Island,298
Arizona,South Carolina,842
Arizona,South Dakota,1582
Arizona,Tennessee,3253
Arizona,Texas,13025
Arizona,Utah,10165
Arizona,Vermont,406
Arizona,Virginia,3801
Arizona,Washington,14183
Arizona,West Virginia,0
Arizona,Wisconsin,5262
Arizona,Wyoming,2473
Arkansas,Alabama,956
Arkansas,Alaska,205
Arkansas,Arizona,1683
Arkansas,California,5075
Arkansas,Colorado,2429
Arkansas,Connecticut,0
Arkansas,Delaware,79
Arkansas,District of Columbia ,196
Arkansas,Florida,2641
Arkansas,Georgia,2407
Arkansas,Hawaii,45
Arkansas,Idaho,214
Arkansas,Illinois,2999
Arkansas,Indiana,784
Arkansas,Iowa,589
Arkansas,Kansas,2036
Arkansas,Kentucky,497
Arkansas,Louisiana,3601
Arkansas,Maine,0
Arkansas,Maryland,70
Arkansas,Massachusetts,521
Arkansas,Michigan,1922
Arkansas,Minnesota,114
Arkansas,Mississippi,3415
Arkansas,Missouri,6367
Arkansas,Montana,1058
Arkansas,Nebraska,337
Arkansas,Nevada,292
Arkansas,New Hampshire,0
Arkansas,New Jersey,122
Arkansas,New Mexico,645
Arkansas,New York,395
Arkansas,North Carolina,2006
Arkansas,North Dakota,143
Arkansas,Ohio,777
Arkansas,Oklahoma,7505
Arkansas,Oregon,34
Arkansas,Pennsylvania,358
Arkansas,Rhode Island,0
Arkansas,South Carolina,311
Arkansas,South Dakota,146
Arkansas,Tennessee,6033
Arkansas,Texas,17708
Arkansas,Utah,445
Arkansas,Vermont,36
Arkansas,Virginia,2355
Arkansas,Washington,313
Arkansas,West Virginia,143
Arkansas,Wisconsin,1312
Arkansas,Wyoming,275
California,Alabama,5273
California,Alaska,6022
California,Arizona,34204
California,Arkansas,2867
California,Colorado,21157
California,Connecticut,6205
California,Delaware,1118
California,District of Columbia ,3908
California,Florida,25638
California,Georgia,11630
California,Hawaii,10475
California,Idaho,5840
California,Illinois,26189
California,Indiana,8650
California,Iowa,1394
California,Kansas,3943
California,Kentucky,3781
California,Louisiana,6324
California,Maine,1745
California,Maryland,9981
California,Massachusetts,12628
California,Michigan,8852
California,Minnesota,4887
California,Mississippi,2539
California,Missouri,6465
California,Montana,2017
California,Nebraska,3282
California,Nevada,25332
California,New Hampshire,1859
California,New Jersey,12890
California,New Mexico,5239
California,New York,36896
California,North Carolina,12463
California,North Dakota,1035
California,Ohio,12836
California,Oklahoma,8350
California,Oregon,20838
California,Pennsylvania,13595
California,Rhode Island,2179
California,South Carolina,6301
California,South Dakota,610
California,Tennessee,8781
California,Texas,41713
California,Utah,8814
California,Vermont,766
California,Virginia,15009
California,Washington,33131
California,West Virginia,413
California,Wisconsin,6741
California,Wyoming,1672
Colorado,Alabama,2392
Colorado,Alaska,1653
Colorado,Arizona,10254
Colorado,Arkansas,1527
Colorado,California,29029
Colorado,Connecticut,2253
Colorado,Delaware,77
Colorado,District of Columbia ,1132
Colorado,Florida,12623
Colorado,Georgia,4644
Colorado,Hawaii,4277
Colorado,Idaho,1692
Colorado,Illinois,11398
Colorado,Indiana,1982
Colorado,Iowa,2718
Colorado,Kansas,6294
Colorado,Kentucky,1678
Colorado,Louisiana,3007
Colorado,Maine,185
Colorado,Maryland,2286
Colorado,Massachusetts,2378
Colorado,Michigan,3739
Colorado,Minnesota,5443
Colorado,Mississippi,881
Colorado,Missouri,6798
Colorado,Montana,910
Colorado,Nebraska,4201
Colorado,Nevada,3723
Colorado,New Hampshire,583
Colorado,New Jersey,3227
Colorado,New Mexico,6393
Colorado,New York,5748
Colorado,North Carolina,3489
Colorado,North Dakota,1388
Colorado,Ohio,3263
Colorado,Oklahoma,3072
Colorado,Oregon,4836
Colorado,Pennsylvania,4870
Colorado,Rhode Island,43
Colorado,South Carolina,2410
Colorado,South Dakota,732
Colorado,Tennessee,2314
Colorado,Texas,25268
Colorado,Utah,4064
Colorado,Vermont,1094
Colorado,Virginia,7686
Colorado,Washington,7368
Colorado,West Virginia,1232
Colorado,Wisconsin,5916
Colorado,Wyoming,3275
Connecticut,Alabama,163
Connecticut,Alaska,68
Connecticut,Arizona,187
Connecticut,Arkansas,0
Connecticut,California,4240
Connecticut,Colorado,467
Connecticut,Delaware,344
Connecticut,District of Columbia ,379
Connecticut,Florida,6122
Connecticut,Georgia,1268
Connecticut,Hawaii,429
Connecticut,Idaho,51
Connecticut,Illinois,1696
Connecticut,Indiana,777
Connecticut,Iowa,362
Connecticut,Kansas,135
Connecticut,Kentucky,30
Connecticut,Louisiana,139
Connecticut,Maine,939
Connecticut,Maryland,917
Connecticut,Massachusetts,9498
Connecticut,Michigan,467
Connecticut,Minnesota,548
Connecticut,Mississippi,84
Connecticut,Missouri,638
Connecticut,Montana,0
Connecticut,Nebraska,0
Connecticut,Nevada,127
Connecticut,New Hampshire,1202
Connecticut,New Jersey,3688
Connecticut,New Mexico,725
Connecticut,New York,23820
Connecticut,North Carolina,1394
Connecticut,North Dakota,95
Connecticut,Ohio,1836
Connecticut,Oklahoma,265
Connecticut,Oregon,290
