target,source,flow
Alaska,Alabama,767
Arizona,Alabama,1865
Arkansas,Alabama,2329
California,Alabama,3397
Colorado,Alabama,1927
Connecticut,Alabama,894
Delaware,Alabama,77
District of Columbia ,Alabama,521
Florida,Alabama,15755
Georgia,Alabama,27433
Hawaii,Alabama,399
Idaho,Alabama,0
Illinois,Alabama,2400
Indiana,Alabama,1184
Iowa,Alabama,478
Kansas,Alabama,1277
Kentucky,Alabama,1365
Louisiana,Alabama,1566
Maine,Alabama,97
Maryland,Alabama,1435
Massachusetts,Alabama,446
Michigan,Alabama,2540
Minnesota,Alabama,193
Mississippi,Alabama,7442
Missouri,Alabama,1174
Montana,Alabama,120
Nebraska,Alabama,339
Nevada,Alabama,539
New Hampshire,Alabama,166
New Jersey,Alabama,193
New Mexico,Alabama,773
New York,Alabama,2061
North Carolina,Alabama,3974
North Dakota,Alabama,1162
Ohio,Alabama,1513
Oklahoma,Alabama,725
Oregon,Alabama,593
Pennsylvania,Alabama,2690
Rhode Island,Alabama,43
South Carolina,Alabama,1968
South Dakota,Alabama,103
Tennessee,Alabama,7206
Texas,Alabama,6469
Utah,Alabama,362
Vermont,Alabama,173
Virginia,Alabama,4772
Washington,Alabama,871
West Virginia,Alabama,445
Wisconsin,Alabama,491
Wyoming,Alabama,164
Alabama,Alaska,279
Arizona,Alaska,658
Arkansas,Alaska,73
California,Alaska,3062
Colorado,Alaska,1815
Connecticut,Alaska,109
Delaware,Alaska,0
District of Columbia ,Alaska,0
Florida,Alaska,1473
Georgia,Alaska,1044
Hawaii,Alaska,732
Idaho,Alaska,544
Illinois,Alaska,819
Indiana,Alaska,138
Iowa,Alaska,193
Kansas,Alaska,434
Kentucky,Alaska,238
Louisiana,Alaska,210
Maine,Alaska,17
Maryland,Alaska,444
Massachusetts,Alaska,449
Michigan,Alaska,955
Minnesota,Alaska,1173
Mississippi,Alaska,0
Missouri,Alaska,905
Montana,Alaska,461
Nebraska,Alaska,233
Nevada,Alaska,2129
New Hampshire,Alaska,338
New Jersey,Alaska,0
New Mexico,Alaska,766
New York,Alaska,1028
North Carolina,Alaska,2078
North Dakota,Alaska,71
Ohio,Alaska,408
Oklahoma,Alaska,780
Oregon,Alaska,1389
Pennsylvania,Alaska,263
Rhode Island,Alaska,0
South Carolina,Alaska,873
South Dakota,Alaska,312
Tennessee,Alaska,133
Texas,Alaska,2196
Utah,Alaska,337
Vermont,Alaska,53
Virginia,Alaska,521
Washington,Alaska,3988
West Virginia,Alaska,0
Wisconsin,Alaska,161
Wyoming,Alaska,414
Alabama,Arizona,607
Alaska,Arizona,2519
Arkansas,Arizona,553
California,Arizona,54646
Colorado,Arizona,11039
Connecticut,Arizona,2417
Delaware,Arizona,927
District of Columbia ,Arizona,330
Florida,Arizona,7833
Georgia,Arizona,3671
Hawaii,Arizona,2069
Idaho,Arizona,2835
Illinois,Arizona,11017
Indiana,Arizona,4087
Iowa,Arizona,3963
Kansas,Arizona,2625
Kentucky,Arizona,3599
Louisiana,Arizona,1801
Maine,Arizona,780
Maryland,Arizona,2105
Massachusetts,Arizona,3030
Michigan,Arizona,9069
Minnesota,Arizona,8499
Mississippi,Arizona,544
Missouri,Arizona,4069
Montana,Arizona,1798
Nebraska,Arizona,986
Nevada,Arizona,7153
New Hampshire,Arizona,445
New Jersey,Arizona,2782
New Mexico,Arizona,8030
New York,Arizona,5564
North Carolina,Arizona,5323
North Dakota,Arizona,1150
Ohio,Arizona,5147
Oklahoma,Arizona,3906
Oregon,Arizona,7163
Pennsylvania,Arizona,3910
Rhode Island,Arizona,298
South Carolina,Arizona,842
South Dakota,Arizona,1582
Tennessee,Arizona,3253
Texas,Arizona,13025
Utah,Arizona,10165
Vermont,Arizona,406
Virginia,Arizona,3801
Washington,Arizona,14183
West Virginia,Arizona,0
Wisconsin,Arizona,5262
Wyoming,Arizona,2473
Alabama,Arkansas,956
Alaska,Arkansas,205
Arizona,Arkansas,1683
California,Arkansas,5075
Colorado,Arkansas,2429
Connecticut,Arkansas,0
Delaware,Arkansas,79
District of Columbia ,Arkansas,196
Florida,Arkansas,2641
Georgia,Arkansas,2407
Hawaii,Arkansas,45
Idaho,Arkansas,214
Illinois,Arkansas,2999
Indiana,Arkansas,784
Iowa,Arkansas,589
Kansas,Arkansas,2036
Kentucky,Arkansas,497
Louisiana,Arkansas,3601
Maine,Arkansas,0
Maryland,Arkansas,70
Massachusetts,Arkansas,521
Michigan,Arkansas,1922
Minnesota,Arkansas,114
Mississippi,Arkansas,3415
Missouri,Arkansas,6367
Montana,Arkansas,1058
Nebraska,Arkansas,337
Nevada,Arkansas,292
New Hampshire,Arkansas,0
New Jersey,Arkansas,122
New Mexico,Arkansas,645
New York,Arkansas,395
North Carolina,Arkansas,2006
North Dakota,Arkansas,143
Ohio,Arkansas,777
Oklahoma,Arkansas,7505
Oregon,Arkansas,34
Pennsylvania,Arkansas,358
Rhode Island,Arkansas,0
South Carolina,Arkansas,311
South Dakota,Arkansas,146
Tennessee,Arkansas,6033
Texas,Arkansas,17708
Utah,Arkansas,445
Vermont,Arkansas,36
Virginia,Arkansas,2355
Washington,Arkansas,313
West Virginia,Arkansas,143
Wisconsin,Arkansas,1312
Wyoming,Arkansas,275
Alabama,California,5273
Alaska,California,6022
Arizona,California,34204
Arkansas,California,2867
Colorado,California,21157
Connecticut,California,6205
Delaware,California,1118
District of Columbia ,California,3908
Florida,California,25638
Georgia,California,11630
Hawaii,California,10475
Idaho,California,5840
Illinois,California,26189
Indiana,California,8650
Iowa,California,1394
Kansas,California,3943
Kentucky,California,3781
Louisiana,California,6324
Maine,California,1745
Maryland,California,9981
Massachusetts,California,12628
Michigan,California,8852
Minnesota,California,4887
Mississippi,California,2539
Missouri,California,6465
Montana,California,2017
Nebraska,California,3282
Nevada,California,25332
New Hampshire,California,1859
New Jersey,California,12890
New Mexico,California,5239
New York,California,36896
North Carolina,California,12463
North Dakota,California,1035
Ohio,California,12836
Oklahoma,California,8350
Oregon,California,20838
Pennsylvania,California,13595
Rhode Island,California,2179
South Carolina,California,6301
South Dakota,California,610
Tennessee,California,8781
Texas,California,41713
Utah,California,8814
Vermont,California,766
Virginia,California,15009
Washington,California,33131
West Virginia,California,413
Wisconsin,California,6741
Wyoming,California,1672
Alabama,Colorado,2392
Alaska,Colorado,1653
Arizona,Colorado,10254
Arkansas,Colorado,1527
California,Colorado,29029
Connecticut,Colorado,2253
Delaware,Colorado,77
District of Columbia ,Colorado,1132
Florida,Colorado,12623
Georgia,Colorado,4644
Hawaii,Colorado,4277
Idaho,Colorado,1692
Illinois,Colorado,11398
Indiana,Colorado,1982
Iowa,Colorado,2718
Kansas,Colorado,6294
Kentucky,Colorado,1678
Louisiana,Colorado,3007
Maine,Colorado,185
Maryland,Colorado,2286
Massachusetts,Colorado,2378
Michigan,Colorado,3739
Minnesota,Colorado,5443
Mississippi,Colorado,881
Missouri,Colorado,6798
Montana,Colorado,910
Nebraska,Colorado,4201
Nevada,Colorado,3723
New Hampshire,Colorado,583
New Jersey,Colorado,3227
New Mexico,Colorado,6393
New York,Colorado,5748
North Carolina,Colorado,3489
North Dakota,Colorado,1388
Ohio,Colorado,3263
Oklahoma,Colorado,3072
Oregon,Colorado,4836
Pennsylvania,Colorado,4870
Rhode Island,Colorado,43
South Carolina,Colorado,2410
South Dakota,Colorado,732
Tennessee,Colorado,2314
Texas,Colorado,25268
Utah,Colorado,4064
Vermont,Colorado,1094
Virginia,Colorado,7686
Washington,Colorado,7368
West Virginia,Colorado,1232
Wisconsin,Colorado,5916
Wyoming,Colorado,3275
Alabama,Connecticut,163
Alaska,Connecticut,68
Arizona,Connecticut,187
Arkansas,Connecticut,0
California,Connecticut,4240
Colorado,Connecticut,467
Delaware,Connecticut,344
District of Columbia ,Connecticut,379
Florida,Connecticut,6122
Georgia,Connecticut,1268
Hawaii,Connecticut,429
Idaho,Connecticut,51
Illinois,Connecticut,1696
Indiana,Connecticut,777
Iowa,Connecticut,362
Kansas,Connecticut,135
Kentucky,Connecticut,30
Louisiana,Connecticut,139
Maine,Connecticut,939
Maryland,Connecticut,917
Massachusetts,Connecticut,9498
Michigan,Connecticut,467
Minnesota,Connecticut,548
Mississippi,Connecticut,84
Missouri,Connecticut,638
Montana,Connecticut,0
Nebraska,Connecticut,0
Nevada,Connecticut,127
New Hampshire,Connecticut,1202
New Jersey,Connecticut,3688
New Mexico,Connecticut,725
New York,Connecticut,23820
North Carolina,Connecticut,1394
North Dakota,Connecticut,95
Ohio,Connecticut,1836
Oklahoma,Connecticut,265
Oregon,Connecticut,290
Pennsylvania,Connecticut,2348
Rhode Island,Connecticut,3035
South Carolina,Connecticut,926
South Dakota,Connecticut,362
Tennessee,Connecticut,237
Texas,Connecticut,2519
Utah,Connecticut,95
Vermont,Connecticut,262
Virginia,Connecticut,2301
Washington,Connecticut,1236
West Virginia,Connecticut,63
Wisconsin,Connecticut,223
Wyoming,Connecticut,0
Alabama,Delaware,76
Alaska,Delaware,344
Arizona,Delaware,282
Arkansas,Delaware,0
California,Delaware,725
Colorado,Delaware,192
Connecticut,Delaware,508
District of Columbia ,Delaware,279
Florida,Delaware,883
Georgia,Delaware,327
Hawaii,Delaware,0
Idaho,Delaware,0
Illinois,Delaware,632
Indiana,Delaware,207
Iowa,Delaware,124
Kansas,Delaware,154
Kentucky,Delaware,75
Louisiana,Delaware,0
Maine,Delaware,376
Maryland,Delaware,6749
Massachusetts,Delaware,1161
Michigan,Delaware,162
Minnesota,Delaware,81
Mississippi,Delaware,26
Missouri,Delaware,82
Montana,Delaware,0
Nebraska,Delaware,0
Nevada,Delaware,0
New Hampshire,Delaware,47
New Jersey,Delaware,4345
New Mexico,Delaware,846
New York,Delaware,4759
North Carolina,Delaware,1504
North Dakota,Delaware,423
Ohio,Delaware,92
Oklahoma,Delaware,54
Oregon,Delaware,90
Pennsylvania,Delaware,13965
Rhode Island,Delaware,0
South Carolina,Delaware,659
South Dakota,Delaware,0
Tennessee,Delaware,82
Texas,Delaware,1423
Utah,Delaware,32
Vermont,Delaware,78
Virginia,Delaware,2112
Washington,Delaware,420
West Virginia,Delaware,119
Wisconsin,Delaware,0
Wyoming,Delaware,0
Alabama,District of Columbia ,359
Alaska,District of Columbia ,235
Arizona,District of Columbia ,367
Arkansas,District of Columbia ,203
California,District of Columbia ,4119
Colorado,District of Columbia ,433
Connecticut,District of Columbia ,1292
Delaware,District of Columbia ,252
Florida,District of Columbia ,2731
Georgia,District of Columbia ,1013
Hawaii,District of Columbia ,52
