target,source,flow
Alabama,Alaska,424
Alabama,Arizona,1513
Alabama,Arkansas,517
Alabama,California,2328
Alabama,Colorado,1974
Alabama,Connecticut,336
Alabama,Delaware,22
Alabama,District of Columbia ,378
Alabama,Florida,14171
Alabama,Georgia,22363
Alabama,Hawaii,93
Alabama,Idaho,118
Alabama,Illinois,2399
Alabama,Indiana,2295
Alabama,Iowa,627
Alabama,Kansas,646
Alabama,Kentucky,2157
Alabama,Louisiana,2308
Alabama,Maine,56
Alabama,Maryland,801
Alabama,Massachusetts,450
Alabama,Michigan,1821
Alabama,Minnesota,420
Alabama,Mississippi,7798
Alabama,Missouri,544
Alabama,Montana,247
Alabama,Nebraska,167
Alabama,Nevada,1989
Alabama,New Hampshire,245
Alabama,New Jersey,1103
Alabama,New Mexico,1007
Alabama,New York,2203
Alabama,North Carolina,4245
Alabama,North Dakota,878
Alabama,Ohio,1702
Alabama,Oklahoma,877
Alabama,Oregon,444
Alabama,Pennsylvania,1595
Alabama,Rhode Island,848
Alabama,South Carolina,1896
Alabama,South Dakota,96
Alabama,Tennessee,8018
Alabama,Texas,8825
Alabama,Utah,998
Alabama,Vermont,0
Alabama,Virginia,4277
Alabama,Washington,1289
Alabama,West Virginia,1070
Alabama,Wisconsin,1121
Alabama,Wyoming,104
Alaska,Alabama,942
Alaska,Arizona,1387
Alaska,Arkansas,203
Alaska,California,3556
Alaska,Colorado,1487
Alaska,Connecticut,0
Alaska,Delaware,0
Alaska,District of Columbia ,0
Alaska,Florida,906
Alaska,Georgia,422
Alaska,Hawaii,424
Alaska,Idaho,225
Alaska,Illinois,723
Alaska,Indiana,186
Alaska,Iowa,1083
Alaska,Kansas,17
Alaska,Kentucky,397
Alaska,Louisiana,327
Alaska,Maine,225
Alaska,Maryland,325
Alaska,Massachusetts,111
Alaska,Michigan,524
Alaska,Minnesota,1077
Alaska,Mississippi,172
Alaska,Missouri,143
Alaska,Montana,156
Alaska,Nebraska,282
Alaska,Nevada,633
Alaska,New Hampshire,0
Alaska,New Jersey,485
Alaska,New Mexico,64
Alaska,New York,757
Alaska,North Carolina,345
Alaska,North Dakota,103
Alaska,Ohio,448
Alaska,Oklahoma,373
Alaska,Oregon,1232
Alaska,Pennsylvania,274
Alaska,Rhode Island,216
Alaska,South Carolina,270
Alaska,South Dakota,6
Alaska,Tennessee,544
Alaska,Texas,2165
Alaska,Utah,465
Alaska,Vermont,0
Alaska,Virginia,360
Alaska,Washington,3653
Alaska,West Virginia,0
Alaska,Wisconsin,2500
Alaska,Wyoming,6
Arizona,Alabama,1337
Arizona,Alaska,2255
Arizona,Arkansas,1763
Arizona,California,59233
Arizona,Colorado,12810
Arizona,Connecticut,730
Arizona,Delaware,810
Arizona,District of Columbia ,362
Arizona,Florida,8522
Arizona,Georgia,5278
Arizona,Hawaii,2651
Arizona,Idaho,3991
Arizona,Illinois,13095
Arizona,Indiana,3381
Arizona,Iowa,3423
Arizona,Kansas,2506
Arizona,Kentucky,1708
Arizona,Louisiana,2174
Arizona,Maine,194
Arizona,Maryland,1108
Arizona,Massachusetts,2382
Arizona,Michigan,5651
Arizona,Minnesota,7093
Arizona,Mississippi,1261
Arizona,Missouri,5195
Arizona,Montana,2436
Arizona,Nebraska,1870
Arizona,Nevada,7647
Arizona,New Hampshire,578
Arizona,New Jersey,4329
Arizona,New Mexico,6455
Arizona,New York,5674
Arizona,North Carolina,4429
Arizona,North Dakota,2725
Arizona,Ohio,5095
Arizona,Oklahoma,4856
Arizona,Oregon,10701
Arizona,Pennsylvania,6332
Arizona,Rhode Island,141
Arizona,South Carolina,1214
Arizona,South Dakota,1458
Arizona,Tennessee,2194
Arizona,Texas,12793
Arizona,Utah,8594
Arizona,Vermont,96
Arizona,Virginia,3593
Arizona,Washington,14392
Arizona,West Virginia,318
Arizona,Wisconsin,3897
Arizona,Wyoming,997
Arkansas,Alabama,574
Arkansas,Alaska,241
Arkansas,Arizona,1060
Arkansas,California,5334
Arkansas,Colorado,2547
Arkansas,Connecticut,0
Arkansas,Delaware,0
Arkansas,District of Columbia ,0
Arkansas,Florida,1525
Arkansas,Georgia,1805
Arkansas,Hawaii,0
Arkansas,Idaho,582
Arkansas,Illinois,2252
Arkansas,Indiana,1810
Arkansas,Iowa,176
Arkansas,Kansas,2021
Arkansas,Kentucky,1222
Arkansas,Louisiana,2867
Arkansas,Maine,0
Arkansas,Maryland,1425
Arkansas,Massachusetts,97
Arkansas,Michigan,961
Arkansas,Minnesota,808
Arkansas,Mississippi,4171
Arkansas,Missouri,6759
Arkansas,Montana,118
Arkansas,Nebraska,475
Arkansas,Nevada,439
Arkansas,New Hampshire,78
Arkansas,New Jersey,359
Arkansas,New Mexico,414
Arkansas,New York,283
Arkansas,North Carolina,1749
Arkansas,North Dakota,88
Arkansas,Ohio,39
Arkansas,Oklahoma,7854
Arkansas,Oregon,749
Arkansas,Pennsylvania,2639
Arkansas,Rhode Island,0
Arkansas,South Carolina,487
Arkansas,South Dakota,0
Arkansas,Tennessee,5383
Arkansas,Texas,15767
Arkansas,Utah,657
Arkansas,Vermont,0
Arkansas,Virginia,1087
Arkansas,Washington,1539
Arkansas,West Virginia,0
Arkansas,Wisconsin,958
Arkansas,Wyoming,12
California,Alabama,3715
California,Alaska,2606
California,Arizona,26907
California,Arkansas,3471
California,Colorado,25038
California,Connecticut,5935
California,Delaware,491
California,District of Columbia ,6818
California,Florida,24611
California,Georgia,10233
California,Hawaii,12776
California,Idaho,5626
California,Illinois,27117
California,Indiana,5190
California,Iowa,4163
California,Kansas,5202
California,Kentucky,3431
California,Louisiana,5169
California,Maine,2578
California,Maryland,11303
California,Massachusetts,16774
California,Michigan,11538
California,Minnesota,7487
California,Mississippi,3299
California,Missouri,6841
California,Montana,2809
California,Nebraska,2419
California,Nevada,23768
California,New Hampshire,1216
California,New Jersey,12906
California,New Mexico,5312
California,New York,34278
California,North Carolina,13523
California,North Dakota,2223
California,Ohio,11410
California,Oklahoma,4890
California,Oregon,20548
California,Pennsylvania,16141
California,Rhode Island,1763
California,South Carolina,7134
California,South Dakota,1403
California,Tennessee,5413
California,Texas,40999
California,Utah,9925
California,Vermont,895
California,Virginia,21162
California,Washington,33143
California,West Virginia,789
California,Wisconsin,9348
California,Wyoming,1395
Colorado,Alabama,3120
Colorado,Alaska,2030
Colorado,Arizona,6765
Colorado,Arkansas,1356
Colorado,California,27014
Colorado,Connecticut,1800
Colorado,Delaware,764
Colorado,District of Columbia ,863
Colorado,Florida,12385
Colorado,Georgia,4712
Colorado,Hawaii,3512
Colorado,Idaho,2984
Colorado,Illinois,10652
Colorado,Indiana,2754
Colorado,Iowa,3035
Colorado,Kansas,6653
Colorado,Kentucky,2195
Colorado,Louisiana,2195
Colorado,Maine,448
Colorado,Maryland,3420
Colorado,Massachusetts,2785
Colorado,Michigan,2661
Colorado,Minnesota,4369
Colorado,Mississippi,1085
Colorado,Missouri,3774
Colorado,Montana,675
Colorado,Nebraska,4541
Colorado,Nevada,3800
Colorado,New Hampshire,1416
Colorado,New Jersey,5166
Colorado,New Mexico,4715
Colorado,New York,8560
Colorado,North Carolina,6273
Colorado,North Dakota,1286
Colorado,Ohio,5144
Colorado,Oklahoma,5180
Colorado,Oregon,4359
Colorado,Pennsylvania,4840
Colorado,Rhode Island,963
Colorado,South Carolina,2221
Colorado,South Dakota,1453
Colorado,Tennessee,2453
Colorado,Texas,25212
Colorado,Utah,3417
Colorado,Vermont,471
Colorado,Virginia,6099
Colorado,Washington,6675
Colorado,West Virginia,42
Colorado,Wisconsin,3506
Colorado,Wyoming,5135
Connecticut,Alabama,206
Connecticut,Alaska,540
Connecticut,Arizona,644
Connecticut,Arkansas,160
Connecticut,California,2807
Connecticut,Colorado,370
Connecticut,Delaware,463
Connecticut,District of Columbia ,414
Connecticut,Florida,6589
Connecticut,Georgia,1531
Connecticut,Hawaii,473
Connecticut,Idaho,0
Connecticut,Illinois,697
Connecticut,Indiana,534
Connecticut,Iowa,0
Connecticut,Kansas,0
Connecticut,Kentucky,227
Connecticut,Louisiana,716
Connecticut,Maine,627
Connecticut,Maryland,992
Connecticut,Massachusetts,12004
Connecticut,Michigan,376
Connecticut,Minnesota,160
Connecticut,Mississippi,0
Connecticut,Missouri,1601
Connecticut,Montana,0
Connecticut,Nebraska,154
Connecticut,Nevada,142
Connecticut,New Hampshire,472
Connecticut,New Jersey,3930
Connecticut,New Mexico,825
Connecticut,New York,28542
Connecticut,North Carolina,1910
Connecticut,North Dakota,187
Connecticut,Ohio,1171
Connecticut,Oklahoma,400
Connecticut,Oregon,579
Connecticut,Pennsylvania,3263
Connecticut,Rhode Island,2061
Connecticut,South Carolina,1019
Connecticut,South Dakota,0
Connecticut,Tennessee,166
Connecticut,Texas,3698
Connecticut,Utah,149
Connecticut,Vermont,393
Connecticut,Virginia,1314
Connecticut,Washington,374
Connecticut,West Virginia,0
Connecticut,Wisconsin,188
Connecticut,Wyoming,257
Delaware,Alabama,506
Delaware,Alaska,0
Delaware,Arizona,76
Delaware,Arkansas,0
Delaware,California,580
Delaware,Colorado,144
Delaware,Connecticut,174
Delaware,District of Columbia ,316
Delaware,Florida,1335
Delaware,Georgia,179
Delaware,Hawaii,110
Delaware,Idaho,0
Delaware,Illinois,857
Delaware,Indiana,41
Delaware,Iowa,0
Delaware,Kansas,0
Delaware,Kentucky,21
Delaware,Louisiana,73
Delaware,Maine,0
Delaware,Maryland,9748
Delaware,Massachusetts,396
Delaware,Michigan,441
Delaware,Minnesota,45
Delaware,Mississippi,0
Delaware,Missouri,153
Delaware,Montana,0
Delaware,Nebraska,0
Delaware,Nevada,0
Delaware,New Hampshire,0
Delaware,New Jersey,4006
Delaware,New Mexico,44
Delaware,New York,3564
Delaware,North Carolina,327
Delaware,North Dakota,0
Delaware,Ohio,80
Delaware,Oklahoma,295
Delaware,Oregon,104
Delaware,Pennsylvania,11035
Delaware,Rhode Island,0
Delaware,South Carolina,144
Delaware,South Dakota,0
Delaware,Tennessee,318
Delaware,Texas,1152
Delaware,Utah,32
Delaware,Vermont,59
Delaware,Virginia,1510
Delaware,Washington,0
Delaware,West Virginia,371
Delaware,Wisconsin,296
Delaware,Wyoming,0
District of Columbia ,Alabama,494
District of Columbia ,Alaska,0
District of Columbia ,Arizona,549
District of Columbia ,Arkansas,105
District of Columbia ,California,3763
District of Columbia ,Colorado,1109
District of Columbia ,Connecticut,1149
District of Columbia ,Delaware,375
District of Columbia ,Florida,1182
District of Columbia ,Georgia,1507
District of Columbia ,Hawaii,29
District of Columbia ,Idaho,161
District of Columbia ,Illinois,2726
District of Columbia ,Indiana,710
District of Columbia ,Iowa,17
District of Columbia ,Kansas,0
District of Columbia ,Kentucky,285
District of Columbia ,Louisiana,461
District of Columbia ,Maine,122
District of Columbia ,Maryland,10835
District of Columbia ,Massachusetts,2669
District of Columbia ,Michigan,808
District of Columbia ,Minnesota,436
District of Columbia ,Mississippi,157
District of Columbia ,Missouri,466
District of Columbia ,Montana,0
District of Columbia ,Nebraska,0
District of Columbia ,Nevada,128
District of Columbia ,New Hampshire,88
District of Columbia ,New Jersey,2590
District of Columbia ,New Mexico,206
District of Columbia ,New York,5238
District of Columbia ,North Carolina,1867
District of Columbia ,North Dakota,5
District of Columbia ,Ohio,1026
District of Columbia ,Oklahoma,0
District of Columbia ,Oregon,37
District of Columbia ,Pennsylvania,1824
District of Columbia ,Rhode Island,296
District of Columbia ,South Carolina,235
District of Columbia ,South Dakota,0
District of Columbia ,Tennessee,1057
District of Columbia ,Texas,2858
District of Columbia ,Utah,384
District of Columbia ,Vermont,447
District of Columbia ,Virginia,7509
District of Columbia ,Washington,206
District of Columbia ,West Virginia,0
District of Columbia ,Wisconsin,115
District of Columbia ,Wyoming,0
Florida,Alabama,9389
Florida,Alaska,1400
Florida,Arizona,5577
Florida,Arkansas,3028
Florida,California,30919
Florida,Colorado,12061
Florida,Connecticut,11249
Florida,Delaware,3831
Florida,District of Columbia ,605
Florida,Georgia,38800
Florida,Hawaii,2092
Florida,Idaho,1359
Florida,Illinois,28631
Florida,Indiana,11833
Florida,Iowa,3466
Florida,Kansas,3376
Florida,Kentucky,9762
Florida,Louisiana,6403
Florida,Maine,2960
Florida,Maryland,18907
Florida,Massachusetts,18212
Florida,Michigan,19169
Florida,Minnesota,7614
Florida,Mississippi,4236
Florida,Missouri,8820
Florida,Montana,755
Florida,Nebraska,987
Florida,Nevada,4681
Florida,New Hampshire,5887
Florida,New Jersey,27892
Florida,New Mexico,2811
Florida,New York,63722
Florida,North Carolina,23270
Florida,North Dakota,702
Florida,Ohio,22946
Florida,Oklahoma,6123
Florida,Oregon,3231
Florida,Pennsylvania,28507
Florida,Rhode Island,3259
Florida,South Carolina,10521
Florida,South Dakota,763
Florida,Tennessee,12023
Florida,Texas,31625
Florida,Utah,6063
Florida,Vermont,2816
Florida,Virginia,28232
Florida,Washington,6176
Florida,West Virginia,2187
Florida,Wisconsin,7202
Florida,Wyoming,396
Georgia,Alabama,15270
Georgia,Alaska,986
Georgia,Arizona,6218
Georgia,Arkansas,2055
Georgia,California,12052
Georgia,Colorado,4981
Georgia,Connecticut,2216
Georgia,Delaware,997
Georgia,District of Columbia ,1077
Georgia,Florida,47035
Georgia,Hawaii,1482
Georgia,Idaho,1825
Georgia,Illinois,12025
Georgia,Indiana,3319
Georgia,Iowa,1079
Georgia,Kansas,5213
Georgia,Kentucky,2226
Georgia,Louisiana,6379
Georgia,Maine,132
Georgia,Maryland,4027
Georgia,Massachusetts,2834
Georgia,Michigan,5249
Georgia,Minnesota,2591
Georgia,Mississippi,4597
Georgia,Missouri,4008
Georgia,Montana,61
Georgia,Nebraska,650
Georgia,Nevada,349
Georgia,New Hampshire,975
Georgia,New Jersey,7389
Georgia,New Mexico,1801
Georgia,New York,15395
Georgia,North Carolina,12684
Georgia,North Dakota,32
Georgia,Ohio,9472
Georgia,Oklahoma,2285
Georgia,Oregon,718
Georgia,Pennsylvania,5967
Georgia,Rhode Island,644
Georgia,South Carolina,15269
Georgia,South Dakota,132
Georgia,Tennessee,15224
Georgia,Texas,19969
Georgia,Utah,1503
Georgia,Vermont,38
Georgia,Virginia,11256
Georgia,Washington,2649
Georgia,West Virginia,420
Georgia,Wisconsin,3504
Georgia,Wyoming,630
Hawaii,Alabama,844
Hawaii,Alaska,424
Hawaii,Arizona,1666
Hawaii,Arkansas,48
Hawaii,California,8843
Hawaii,Colorado,1584
Hawaii,Connecticut,238
Hawaii,Delaware,14
Hawaii,District of Columbia ,232
Hawaii,Florida,2460
Hawaii,Georgia,2915
Hawaii,Idaho,466
Hawaii,Illinois,1062
Hawaii,Indiana,327
Hawaii,Iowa,779
Hawaii,Kansas,637
Hawaii,Kentucky,0
Hawaii,Louisiana,248
Hawaii,Maine,0
Hawaii,Maryland,629
Hawaii,Massachusetts,862
Hawaii,Michigan,353
Hawaii,Minnesota,97
Hawaii,Mississippi,171
Hawaii,Missouri,700
Hawaii,Montana,0
Hawaii,Nebraska,136
Hawaii,Nevada,1525
Hawaii,New Hampshire,0
Hawaii,New Jersey,125
Hawaii,New Mexico,784
Hawaii,New York,804
Hawaii,North Carolina,1399
Hawaii,North Dakota,62
Hawaii,Ohio,1053
Hawaii,Oklahoma,0
Hawaii,Oregon,1103
Hawaii,Pennsylvania,1218
Hawaii,Rhode Island,5
Hawaii,South Carolina,1262
Hawaii,South Dakota,45
Hawaii,Tennessee,495
Hawaii,Texas,4078
Hawaii,Utah,962
Hawaii,Vermont,0
Hawaii,Virginia,2656
Hawaii,Washington,2837
Hawaii,West Virginia,0
Hawaii,Wisconsin,213
Hawaii,Wyoming,96
Idaho,Alabama,58
Idaho,Alaska,796
Idaho,Arizona,1523
Idaho,Arkansas,265
Idaho,California,21372
Idaho,Colorado,3823
Idaho,Connecticut,0
Idaho,Delaware,126
Idaho,District of Columbia ,0
Idaho,Florida,1833
Idaho,Georgia,444
Idaho,Hawaii,765
Idaho,Illinois,357
Idaho,Indiana,169
Idaho,Iowa,0
Idaho,Kansas,0
Idaho,Kentucky,269
Idaho,Louisiana,281
Idaho,Maine,270
Idaho,Maryland,305
Idaho,Massachusetts,0
Idaho,Michigan,630
Idaho,Minnesota,348
Idaho,Mississippi,261
Idaho,Missouri,1216
Idaho,Montana,938
Idaho,Nebraska,514
Idaho,Nevada,2195
Idaho,New Hampshire,0
Idaho,New Jersey,70
Idaho,New Mexico,570
Idaho,New York,598
Idaho,North Carolina,1294
Idaho,North Dakota,1900
Idaho,Ohio,407
Idaho,Oklahoma,227
Idaho,Oregon,3866
Idaho,Pennsylvania,582
Idaho,Rhode Island,0
Idaho,South Carolina,145
Idaho,South Dakota,140
Idaho,Tennessee,749
Idaho,Texas,3685
Idaho,Utah,7226
Idaho,Vermont,0
Idaho,Virginia,612
Idaho,Washington,8881
Idaho,West Virginia,0
Idaho,Wisconsin,442
Idaho,Wyoming,1747
Illinois,Alabama,1682
Illinois,Alaska,270
Illinois,Arizona,4159
Illinois,Arkansas,2591
Illinois,California,16046
Illinois,Colorado,5172
Illinois,Connecticut,1860
Illinois,Delaware,120
Illinois,District of Columbia ,995
Illinois,Florida,10513
Illinois,Georgia,4420
Illinois,Hawaii,460
Illinois,Idaho,670
Illinois,Indiana,16998
Illinois,Iowa,8837
Illinois,Kansas,1212
Illinois,Kentucky,2985
Illinois,Louisiana,1053
Illinois,Maine,173
Illinois,Maryland,2681
Illinois,Massachusetts,2998
Illinois,Michigan,10793
Illinois,Minnesota,5286
Illinois,Mississippi,2409
Illinois,Missouri,16147
Illinois,Montana,187
Illinois,Nebraska,2290
Illinois,Nevada,2565
Illinois,New Hampshire,310
Illinois,New Jersey,3698
Illinois,New Mexico,632
Illinois,New York,6377
Illinois,North Carolina,3923
Illinois,North Dakota,576
Illinois,Ohio,6736
Illinois,Oklahoma,686
Illinois,Oregon,962
Illinois,Pennsylvania,3090
Illinois,Rhode Island,266
Illinois,South Carolina,1848
Illinois,South Dakota,686
Illinois,Tennessee,5086
Illinois,Texas,11642
Illinois,Utah,1160
Illinois,Vermont,51
Illinois,Virginia,4127
Illinois,Washington,4846
Illinois,West Virginia,130
Illinois,Wisconsin,12274
Illinois,Wyoming,414
Indiana,Alabama,1216
Indiana,Alaska,131
Indiana,Arizona,948
Indiana,Arkansas,852
Indiana,California,10096
Indiana,Colorado,1692
Indiana,Connecticut,413
Indiana,Delaware,0
Indiana,District of Columbia ,250
Indiana,Florida,9027
Indiana,Georgia,4224
