source,target,flow,year
Alabama,Alaska,982,2009
Alabama,Arizona,1183,2009
Alabama,Arkansas,373,2009
Alabama,California,4447,2009
Alabama,Colorado,1191,2009
Alabama,Connecticut,130,2009
Alabama,Delaware,212,2009
Alabama,District of Columbia ,99,2009
Alabama,Florida,15799,2009
Alabama,Georgia,20889,2009
Alabama,Hawaii,786,2009
Alabama,Idaho,1072,2009
Alabama,Illinois,3177,2009
Alabama,Indiana,3946,2009
Alabama,Iowa,458,2009
Alabama,Kansas,457,2009
Alabama,Kentucky,1765,2009
Alabama,Louisiana,4174,2009
Alabama,Maine,710,2009
Alabama,Maryland,2709,2009
Alabama,Massachusetts,104,2009
Alabama,Michigan,3964,2009
Alabama,Minnesota,621,2009
Alabama,Mississippi,7941,2009
Alabama,Missouri,1069,2009
Alabama,Montana,456,2009
Alabama,Nebraska,0,2009
Alabama,Nevada,567,2009
Alabama,New Hampshire,99,2009
Alabama,New Jersey,664,2009
Alabama,New Mexico,404,2009
Alabama,New York,2463,2009
Alabama,North Carolina,7152,2009
Alabama,North Dakota,39,2009
Alabama,Ohio,3265,2009
Alabama,Oklahoma,1316,2009
Alabama,Oregon,125,2009
Alabama,Pennsylvania,1015,2009
Alabama,Rhode Island,448,2009
Alabama,South Carolina,2445,2009
Alabama,South Dakota,0,2009
Alabama,Tennessee,7948,2009
Alabama,Texas,8718,2009
Alabama,Utah,382,2009
Alabama,Vermont,0,2009
Alabama,Virginia,5821,2009
Alabama,Washington,991,2009
Alabama,West Virginia,215,2009
Alabama,Wisconsin,1026,2009
Alabama,Wyoming,258,2009
Alaska,Alabama,1390,2009
Alaska,Arizona,1285,2009
Alaska,Arkansas,209,2009
Alaska,California,3780,2009
Alaska,Colorado,1460,2009
Alaska,Connecticut,313,2009
Alaska,Delaware,86,2009
Alaska,District of Columbia ,47,2009
Alaska,Florida,2581,2009
Alaska,Georgia,3114,2009
Alaska,Hawaii,374,2009
Alaska,Idaho,743,2009
Alaska,Illinois,271,2009
Alaska,Indiana,643,2009
Alaska,Iowa,246,2009
Alaska,Kansas,49,2009
Alaska,Kentucky,155,2009
Alaska,Louisiana,1975,2009
Alaska,Maine,129,2009
Alaska,Maryland,642,2009
Alaska,Massachusetts,24,2009
Alaska,Michigan,748,2009
Alaska,Minnesota,1753,2009
Alaska,Mississippi,91,2009
Alaska,Missouri,782,2009
Alaska,Montana,1372,2009
Alaska,Nebraska,40,2009
Alaska,Nevada,314,2009
Alaska,New Hampshire,38,2009
Alaska,New Jersey,327,2009
Alaska,New Mexico,70,2009
Alaska,New York,718,2009
Alaska,North Carolina,288,2009
Alaska,North Dakota,17,2009
Alaska,Ohio,1292,2009
Alaska,Oklahoma,407,2009
Alaska,Oregon,1342,2009
Alaska,Pennsylvania,476,2009
Alaska,Rhode Island,0,2009
Alaska,South Carolina,375,2009
Alaska,South Dakota,314,2009
Alaska,Tennessee,1229,2009
Alaska,Texas,2729,2009
Alaska,Utah,786,2009
Alaska,Vermont,0,2009
Alaska,Virginia,264,2009
Alaska,Washington,3620,2009
Alaska,West Virginia,0,2009
Alaska,Wisconsin,1048,2009
Alaska,Wyoming,470,2009
Arizona,Alabama,392,2009
Arizona,Alaska,2249,2009
Arizona,Arkansas,1818,2009
Arizona,California,46921,2009
Arizona,Colorado,7836,2009
Arizona,Connecticut,1418,2009
Arizona,Delaware,131,2009
Arizona,District of Columbia ,890,2009
Arizona,Florida,4931,2009
Arizona,Georgia,6076,2009
Arizona,Hawaii,3943,2009
Arizona,Idaho,2737,2009
Arizona,Illinois,13111,2009
Arizona,Indiana,4992,2009
Arizona,Iowa,3219,2009
Arizona,Kansas,2461,2009
Arizona,Kentucky,830,2009
Arizona,Louisiana,1741,2009
Arizona,Maine,806,2009
Arizona,Maryland,1265,2009
Arizona,Massachusetts,1764,2009
Arizona,Michigan,10923,2009
Arizona,Minnesota,6161,2009
Arizona,Mississippi,388,2009
Arizona,Missouri,3606,2009
Arizona,Montana,1149,2009
Arizona,Nebraska,3224,2009
Arizona,Nevada,8666,2009
Arizona,New Hampshire,1114,2009
Arizona,New Jersey,2094,2009
Arizona,New Mexico,8707,2009
Arizona,New York,4775,2009
Arizona,North Carolina,3996,2009
Arizona,North Dakota,1039,2009
Arizona,Ohio,4829,2009
Arizona,Oklahoma,1594,2009
Arizona,Oregon,5407,2009
Arizona,Pennsylvania,4344,2009
Arizona,Rhode Island,282,2009
Arizona,South Carolina,914,2009
Arizona,South Dakota,1191,2009
Arizona,Tennessee,215,2009
Arizona,Texas,12278,2009
Arizona,Utah,7997,2009
Arizona,Vermont,61,2009
Arizona,Virginia,4521,2009
Arizona,Washington,11148,2009
Arizona,West Virginia,781,2009
Arizona,Wisconsin,3795,2009
Arizona,Wyoming,1260,2009
Arkansas,Alabama,443,2009
Arkansas,Alaska,968,2009
Arkansas,Arizona,1365,2009
Arkansas,California,4837,2009
Arkansas,Colorado,2497,2009
Arkansas,Connecticut,153,2009
Arkansas,Delaware,0,2009
Arkansas,District of Columbia ,0,2009
Arkansas,Florida,3264,2009
Arkansas,Georgia,1090,2009
Arkansas,Hawaii,396,2009
Arkansas,Idaho,499,2009
Arkansas,Illinois,3758,2009
Arkansas,Indiana,1032,2009
Arkansas,Iowa,292,2009
Arkansas,Kansas,2776,2009
Arkansas,Kentucky,1684,2009
Arkansas,Louisiana,4905,2009
Arkansas,Maine,424,2009
Arkansas,Maryland,654,2009
Arkansas,Massachusetts,224,2009
Arkansas,Michigan,1905,2009
Arkansas,Minnesota,1130,2009
Arkansas,Mississippi,3059,2009
Arkansas,Missouri,7652,2009
Arkansas,Montana,0,2009
Arkansas,Nebraska,198,2009
Arkansas,Nevada,2079,2009
Arkansas,New Hampshire,165,2009
Arkansas,New Jersey,315,2009
Arkansas,New Mexico,574,2009
Arkansas,New York,1803,2009
Arkansas,North Carolina,1245,2009
Arkansas,North Dakota,0,2009
Arkansas,Ohio,1128,2009
Arkansas,Oklahoma,7538,2009
Arkansas,Oregon,798,2009
Arkansas,Pennsylvania,236,2009
Arkansas,Rhode Island,0,2009
Arkansas,South Carolina,796,2009
Arkansas,South Dakota,155,2009
Arkansas,Tennessee,7667,2009
Arkansas,Texas,14036,2009
Arkansas,Utah,499,2009
Arkansas,Vermont,0,2009
Arkansas,Virginia,191,2009
Arkansas,Washington,520,2009
Arkansas,West Virginia,29,2009
Arkansas,Wisconsin,459,2009
Arkansas,Wyoming,115,2009
California,Alabama,2889,2009
California,Alaska,5332,2009
California,Arizona,34040,2009
California,Arkansas,3539,2009
California,Colorado,16798,2009
California,Connecticut,4906,2009
California,Delaware,453,2009
California,District of Columbia ,1951,2009
California,Florida,18769,2009
California,Georgia,10819,2009
California,Hawaii,13042,2009
California,Idaho,7446,2009
California,Illinois,16415,2009
California,Indiana,6411,2009
California,Iowa,3576,2009
California,Kansas,4782,2009
California,Kentucky,1996,2009
California,Louisiana,3171,2009
California,Maine,1216,2009
California,Maryland,11905,2009
California,Massachusetts,10171,2009
California,Michigan,10741,2009
California,Minnesota,7126,2009
California,Mississippi,2516,2009
California,Missouri,8651,2009
California,Montana,2102,2009
California,Nebraska,2400,2009
California,Nevada,32333,2009
California,New Hampshire,1817,2009
California,New Jersey,6142,2009
California,New Mexico,7057,2009
California,New York,26083,2009
California,North Carolina,10802,2009
California,North Dakota,741,2009
California,Ohio,7657,2009
California,Oklahoma,2766,2009
California,Oregon,21270,2009
California,Pennsylvania,8111,2009
California,Rhode Island,1264,2009
California,South Carolina,5219,2009
California,South Dakota,917,2009
California,Tennessee,7010,2009
California,Texas,35104,2009
California,Utah,13401,2009
California,Vermont,1046,2009
California,Virginia,14464,2009
California,Washington,33408,2009
California,West Virginia,835,2009
California,Wisconsin,6958,2009
California,Wyoming,1114,2009
Colorado,Alabama,1774,2009
Colorado,Alaska,1215,2009
Colorado,Arizona,9378,2009
Colorado,Arkansas,2463,2009
Colorado,California,21223,2009
Colorado,Connecticut,1344,2009
Colorado,Delaware,253,2009
Colorado,District of Columbia ,1057,2009
Colorado,Florida,7085,2009
Colorado,Georgia,4499,2009
Colorado,Hawaii,1818,2009
Colorado,Idaho,1446,2009
Colorado,Illinois,5686,2009
Colorado,Indiana,5621,2009
Colorado,Iowa,2852,2009
Colorado,Kansas,3934,2009
Colorado,Kentucky,494,2009
Colorado,Louisiana,1204,2009
Colorado,Maine,639,2009
Colorado,Maryland,1949,2009
Colorado,Massachusetts,2544,2009
Colorado,Michigan,5684,2009
Colorado,Minnesota,4494,2009
Colorado,Mississippi,946,2009
Colorado,Missouri,4087,2009
Colorado,Montana,1283,2009
Colorado,Nebraska,4118,2009
Colorado,Nevada,5320,2009
Colorado,New Hampshire,577,2009
Colorado,New Jersey,1540,2009
Colorado,New Mexico,8038,2009
Colorado,New York,3996,2009
Colorado,North Carolina,4565,2009
Colorado,North Dakota,227,2009
Colorado,Ohio,2316,2009
Colorado,Oklahoma,4206,2009
Colorado,Oregon,2646,2009
Colorado,Pennsylvania,2613,2009
Colorado,Rhode Island,449,2009
Colorado,South Carolina,1919,2009
Colorado,South Dakota,1010,2009
Colorado,Tennessee,1755,2009
Colorado,Texas,19214,2009
Colorado,Utah,5259,2009
Colorado,Vermont,324,2009
Colorado,Virginia,4172,2009
Colorado,Washington,4325,2009
Colorado,West Virginia,468,2009
Colorado,Wisconsin,2982,2009
Colorado,Wyoming,5630,2009
Connecticut,Alabama,1963,2009
Connecticut,Alaska,504,2009
Connecticut,Arizona,629,2009
Connecticut,Arkansas,14,2009
Connecticut,California,5041,2009
Connecticut,Colorado,1815,2009
Connecticut,Delaware,409,2009
Connecticut,District of Columbia ,239,2009
Connecticut,Florida,6286,2009
Connecticut,Georgia,2216,2009
Connecticut,Hawaii,369,2009
Connecticut,Idaho,0,2009
Connecticut,Illinois,1514,2009
Connecticut,Indiana,583,2009
Connecticut,Iowa,0,2009
Connecticut,Kansas,766,2009
Connecticut,Kentucky,470,2009
Connecticut,Louisiana,114,2009
Connecticut,Maine,234,2009
Connecticut,Maryland,2796,2009
Connecticut,Massachusetts,8136,2009
Connecticut,Michigan,621,2009
Connecticut,Minnesota,14,2009
Connecticut,Mississippi,261,2009
Connecticut,Missouri,192,2009
