target,source,flow,year
Alabama,Alaska,3013,2010
Alabama,Arizona,676,2010
Alabama,Arkansas,1481,2010
Alabama,California,3827,2010
Alabama,Colorado,1278,2010
Alabama,Connecticut,454,2010
Alabama,Delaware,811,2010
Alabama,District of Columbia ,211,2010
Alabama,Florida,15062,2010
Alabama,Georgia,21644,2010
Alabama,Hawaii,267,2010
Alabama,Idaho,304,2010
Alabama,Illinois,2503,2010
Alabama,Indiana,3945,2010
Alabama,Iowa,669,2010
Alabama,Kansas,649,2010
Alabama,Kentucky,1967,2010
Alabama,Louisiana,1901,2010
Alabama,Maine,97,2010
Alabama,Maryland,716,2010
Alabama,Massachusetts,435,2010
Alabama,Michigan,2334,2010
Alabama,Minnesota,386,2010
Alabama,Mississippi,7233,2010
Alabama,Missouri,1373,2010
Alabama,Montana,229,2010
Alabama,Nebraska,169,2010
Alabama,Nevada,265,2010
Alabama,New Hampshire,0,2010
Alabama,New Jersey,356,2010
Alabama,New Mexico,650,2010
Alabama,New York,3686,2010
Alabama,North Carolina,2371,2010
Alabama,North Dakota,169,2010
Alabama,Ohio,2222,2010
Alabama,Oklahoma,880,2010
Alabama,Oregon,485,2010
Alabama,Pennsylvania,1477,2010
Alabama,Rhode Island,0,2010
Alabama,South Carolina,2368,2010
Alabama,South Dakota,31,2010
Alabama,Tennessee,7409,2010
Alabama,Texas,6500,2010
Alabama,Utah,1336,2010
Alabama,Vermont,0,2010
Alabama,Virginia,2490,2010
Alabama,Washington,1171,2010
Alabama,West Virginia,41,2010
Alabama,Wisconsin,1155,2010
Alabama,Wyoming,27,2010
Alaska,Alabama,477,2010
Alaska,Arizona,1354,2010
Alaska,Arkansas,47,2010
Alaska,California,3906,2010
Alaska,Colorado,1930,2010
Alaska,Connecticut,0,2010
Alaska,Delaware,0,2010
Alaska,District of Columbia ,14,2010
Alaska,Florida,2315,2010
Alaska,Georgia,1251,2010
Alaska,Hawaii,1705,2010
Alaska,Idaho,895,2010
Alaska,Illinois,388,2010
Alaska,Indiana,9,2010
Alaska,Iowa,262,2010
Alaska,Kansas,106,2010
Alaska,Kentucky,1440,2010
Alaska,Louisiana,100,2010
Alaska,Maine,574,2010
Alaska,Maryland,704,2010
Alaska,Massachusetts,107,2010
Alaska,Michigan,923,2010
Alaska,Minnesota,530,2010
Alaska,Mississippi,263,2010
Alaska,Missouri,0,2010
Alaska,Montana,616,2010
Alaska,Nebraska,215,2010
Alaska,Nevada,240,2010
Alaska,New Hampshire,316,2010
Alaska,New Jersey,413,2010
Alaska,New Mexico,421,2010
Alaska,New York,255,2010
Alaska,North Carolina,698,2010
Alaska,North Dakota,69,2010
Alaska,Ohio,156,2010
Alaska,Oklahoma,1455,2010
Alaska,Oregon,1793,2010
Alaska,Pennsylvania,126,2010
