Location,2015 average age ,2016 average age ,2017 average age ,2017 Under 5 years,2017 5 to 9 years,2017 10 to 14 years,2017 15 to 19 years,2017 20 to 24 years,2017 25 to 29 years,2017 30 to 34 years,2017 35 to 39 years,2017 40 to 44 years,2017 45 to 49 years,2017 50 to 54 years,2017 55 to 59 years,2017 60 to 64 years,2017 65 to 69 years,2017 70 to 74 years,2017 75 to 79 years,2017 80 to 84 years,2017 85+ years
United States,37.8,37.9,38,19938860,20304238,20778454,21131660,22118635,23370460,21972212,21231997,19643373,20973858,21401094,22007956,19987702,16836381,12847065,8741261,5965290,6468682
Alabama,38.7,38.9,39,293554,301285,308459,318807,329597,338151,302151,302111,289684,313756,322876,337258,313287,268693,208639,143159,95101,88179
Alaska,33.9,34,34.3,54083,52072,49463,46802,54717,62720,57495,50424,42788,44497,46788,50140,45226,33860,22044,12783,7339,6554
Arizona,37.2,37.4,37.7,437262,451159,465903,467307,484302,499932,455962,444880,413800,427684,420080,435609,410644,382289,319120,221148,142462,136727
Arkansas,37.9,38,38.1,191435,195143,199158,198327,202825,205551,189913,189713,176563,184419,190232,197723,184133,161359,129150,90646,60107,57882
California,36.1,36.4,36.6,2471513,2514352,2542780,2562668,2767775,3130234,2893545,2713487,2509575,2607438,2555250,2528756,2233922,1825565,1370235,929630,647135,732793
Colorado,36.6,36.7,36.8,336207,349903,363136,356450,377367,440350,430312,401373,358401,366386,348747,368749,337731,279914,199306,124737,81817,86268
Connecticut,40.8,40.9,40.9,183321,199435,220038,245081,248134,222575,221623,215791,206940,243944,268373,272267,238252,188250,150013,100084,71408,92655
Delaware,39.9,40.2,40.4,54992,56671,57604,60541,59650,68250,61028,57895,52421,59724,65809,68556,64670,58226,46321,30541,19524,19516
District of Columbia,33.9,34,34,45035,36123,27603,36919,53576,83447,79155,59943,42095,38821,37394,36638,33489,28021,20198,13903,9479,12133
Florida,41.8,42,42.1,1138095,1151438,1181330,1203740,1269168,1421894,1320786,1280618,1237233,1348105,1419730,1448417,1349211,1256319,1086197,781063,535504,555552
Georgia,36.3,36.5,36.7,660313,693368,722364,723736,718348,755708,697618,697558,669908,717726,701360,673810,589752,495732,375147,241769,152565,142597
Hawaii,38.6,38.8,39,90109,86792,81998,77031,93997,105478,101082,95486,83916,87097,87920,92419,90653,81950,62986,40134,28149,40341
Idaho,35.9,36.1,36.3,117037,122937,128315,121560,112737,115400,110319,112256,100362,100265,99107,107906,103841,91313,69539,46115,29327,28607
Illinois,37.6,37.8,38.1,773049,790696,826055,836129,866359,903566,872507,851956,787212,834022,848886,879674,786514,641188,475801,331745,230767,265897
Indiana,37.5,37.6,37.7,421176,431782,446631,457089,474605,451628,417176,421637,395141,421091,433365,455176,415431,344058,254886,176128,119758,130060
Iowa,37.9,38,38.1,198996,202699,206604,214844,229342,200167,195476,198847,174241,185137,195742,216279,201280,168857,122654,88979,66230,79337
Kansas,36.2,36.4,36.6,193139,199804,200285,200277,215302,193961,189826,187477,164290,168668,176887,193787,179857,147112,107945,74816,54748,64942
Kentucky,38.6,38.7,38.8,276883,277064,284346,287470,303192,305616,275380,282075,268165,288769,299321,309915,284644,243069,182324,125071,81272,79613
Louisiana,36.3,36.6,36.8,312038,305990,306171,299669,319682,350637,329050,310019,268429,281186,297888,315776,290415,239283,177136,120723,80313,79928
Maine,44.4,44.6,44.7,64502,68426,73474,79404,76490,80100,78313,76900,74434,87947,98271,108161,103271,90592,67928,44249,30717,32728
Maryland,38.4,38.5,38.7,366385,373822,376701,384864,386422,421451,416467,402680,366730,409559,434418,433380,374627,304530,229045,152818,101780,116498
Massachusetts,39.4,39.4,39.5,360588,370299,390350,454957,494160,499621,474310,430635,399866,455142,489830,493492,437960,362368,274343,180971,130437,160490
Michigan,39.7,39.7,39.8,573282,587969,622193,661340,702672,676087,593016,592177,563657,642154,680338,725134,675096,562365,416853,283027,191193,213758
Minnesota,37.8,37.8,37.9,355231,360273,367227,356916,364398,371917,385258,374665,319798,343687,367999,397170,351858,286348,206757,144373,102161,120570
Mississippi,36.9,37.1,37.4,187177,197812,205268,206300,209390,207379,186213,188901,175194,185592,189280,199550,184525,155792,118198,81964,54104,51461
Missouri,38.3,38.4,38.6,374479,381099,390672,393256,414417,422125,398738,388138,347436,374184,397700,432409,391846,327895,251437,176192,121509,130000
Montana,39.7,39.7,39.8,63291,63540,64241,63440,72723,69217,65807,65735,57060,58965,63782,75851,76318,66623,48174,32221,21121,22384
Nebraska,36.2,36.3,36.4,133061,132685,132569,130545,137891,126618,128897,125551,109122,110194,114969,126606,115995,97080,69900,48946,36451,42996
Nevada,37.7,37.8,37.9,185837,191754,193279,180314,183306,225703,214655,206160,190908,201409,194842,192147,178666,159163,127168,82272,48928,41528
New Hampshire,42.9,43,43.1,64481,68926,76596,85385,90444,83116,80303,77299,74733,92327,103744,110710,98574,81368,60403,38055,26277,30054
New Jersey,39.7,39.7,39.8,521718,541681,565505,566987,570345,587603,583470,586937,566757,623207,656026,653261,563544,450772,351672,241391,170700,204068
New Mexico,37.3,37.5,37.8,128145,136656,139656,138977,143802,144142,137790,130041,115914,119759,125897,140594,134096,120031,90765,61067,40747,39991
New York,38.4,38.6,38.7,1164406,1135051,1141288,1221982,1364312,1525983,1410936,1285962,1179875,1290735,1366475,1376173,1224028,1015991,768957,537460,383442,456343
North Carolina,38.4,38.6,38.7,609713,633050,658662,676444,696993,715729,654518,652364,638314,698179,687330,689415,632263,552346,429135,280637,186382,181945
North Dakota,34.8,34.9,35.1,54043,49424,46486,47367,64891,60594,53659,48502,39644,39436,42858,49436,45845,36014,25736,18206,14603,18649
Ohio,39.3,39.3,39.4,698780,709211,737946,767484,765382,796439,727322,715051,666167,744174,775242,836488,775787,646774,473817,333531,232584,256430
Oklahoma,36.2,36.3,36.5,263740,268902,267982,263821,274716,280561,265035,255738,227470,232227,236553,256154,235142,196667,154064,107742,72983,71367
Oregon,39.2,39.2,39.3,235968,243265,245990,246771,264707,297253,289779,287529,259645,263479,251977,272242,275354,247305,184418,118126,75533,83435
Pennsylvania,40.7,40.7,40.7,708829,728973,755134,816354,831604,871354,817235,769813,715628,818610,880498,937815,874003,727190,552094,385514,279460,335429
