target,source,flow,year
Alabama,Alaska,1771,2011
North Carolina,Washington,3295,2011
North Carolina,West Virginia,2780,2011
North Carolina,Wisconsin,2291,2011
North Carolina,Wyoming,153,2011
North Dakota,Alabama,97,2011
North Dakota,Alaska,393,2011
North Dakota,Arizona,1313,2011
North Dakota,Arkansas,249,2011
North Dakota,California,1356,2011
North Dakota,Colorado,1229,2011
North Dakota,Connecticut,0,2011
North Dakota,Delaware,84,2011
North Dakota,District of Columbia ,0,2011
North Dakota,Florida,459,2011
North Dakota,Georgia,364,2011
North Carolina,Virginia,27302,2011
North Carolina,Vermont,212,2011
North Carolina,Utah,961,2011
North Carolina,Texas,6621,2011
North Carolina,Montana,563,2011
North Carolina,Nebraska,1056,2011
North Carolina,Nevada,1048,2011
North Carolina,New Hampshire,2078,2011
North Carolina,New Jersey,10374,2011
North Carolina,New Mexico,1737,2011
North Carolina,New York,18321,2011
North Dakota,Hawaii,138,2011
North Carolina,North Dakota,189,2011
North Carolina,Oklahoma,1390,2011
North Carolina,Oregon,1175,2011
North Carolina,Pennsylvania,9450,2011
North Carolina,Rhode Island,444,2011
North Carolina,South Carolina,20427,2011
North Carolina,South Dakota,565,2011
North Carolina,Tennessee,6057,2011
North Carolina,Ohio,10187,2011
North Dakota,Idaho,1209,2011
North Dakota,Illinois,571,2011
North Dakota,Indiana,130,2011
North Dakota,Oklahoma,59,2011
North Dakota,Oregon,264,2011
North Dakota,Pennsylvania,652,2011
North Dakota,Rhode Island,0,2011
North Dakota,South Carolina,1,2011
North Dakota,South Dakota,1293,2011
North Dakota,Tennessee,113,2011
North Dakota,Ohio,286,2011
North Dakota,Texas,1862,2011
North Dakota,Vermont,0,2011
North Dakota,Virginia,166,2011
North Dakota,Washington,404,2011
North Dakota,West Virginia,0,2011
North Dakota,Wisconsin,1398,2011
North Dakota,Wyoming,139,2011
Ohio,Alabama,1567,2011
North Dakota,Utah,429,2011
North Carolina,Missouri,2638,2011
North Dakota,North Carolina,900,2011
North Dakota,New Mexico,99,2011
North Dakota,Iowa,208,2011
North Dakota,Kansas,75,2011
North Dakota,Kentucky,0,2011
North Dakota,Louisiana,422,2011
North Dakota,Maine,50,2011
North Dakota,Maryland,10,2011
North Dakota,Massachusetts,369,2011
North Dakota,New York,264,2011
North Dakota,Michigan,328,2011
North Dakota,Mississippi,80,2011
North Dakota,Missouri,330,2011
North Dakota,Montana,1227,2011
North Dakota,Nebraska,218,2011
North Dakota,Nevada,845,2011
North Dakota,New Hampshire,0,2011
North Dakota,New Jersey,183,2011
North Dakota,Minnesota,12244,2011
North Carolina,Mississippi,1273,2011
North Carolina,Minnesota,1294,2011
North Carolina,Michigan,7530,2011
New York,Kansas,838,2011
New York,Kentucky,2414,2011
New York,Louisiana,1495,2011
New York,Maine,2915,2011
New York,Maryland,5037,2011
New York,Massachusetts,14646,2011
New York,Michigan,3936,2011
New York,Iowa,928,2011
New York,Minnesota,1824,2011
New York,Missouri,1417,2011
New York,Montana,391,2011
New York,Nebraska,579,2011
New York,Nevada,1785,2011
New York,New Hampshire,2972,2011
New York,New Jersey,41450,2011
New York,New Mexico,461,2011
New York,Mississippi,401,2011
New York,North Carolina,9336,2011
New York,Indiana,2198,2011
New York,Idaho,434,2011
New Mexico,Washington,924,2011
New Mexico,West Virginia,0,2011
New Mexico,Wisconsin,340,2011
New Mexico,Wyoming,283,2011
New York,Alabama,1812,2011
New York,Alaska,6124,2011
New York,Arizona,2821,2011
New York,Illinois,6914,2011
New York,Arkansas,1041,2011
New York,Colorado,3724,2011
New York,Connecticut,15123,2011
New York,Delaware,1124,2011
New York,District of Columbia ,3702,2011
New York,Florida,29344,2011
New York,Georgia,10584,2011
New York,Hawaii,1002,2011
New York,California,25761,2011
Ohio,Alaska,1637,2011
New York,North Dakota,374,2011
New York,Oklahoma,1425,2011
North Carolina,Connecticut,1975,2011
North Carolina,Delaware,954,2011
North Carolina,District of Columbia ,1135,2011
North Carolina,Florida,28044,2011
North Carolina,Georgia,16192,2011
North Carolina,Hawaii,1806,2011
North Carolina,Idaho,675,2011
North Carolina,Colorado,3919,2011
North Carolina,Illinois,5971,2011
