source,year,flow
Alabama,2015,100809
Alabama,2016,99892
Alabama,2017,98948
Alaska,2015,40552
Alaska,2016,42074
Alaska,2017,42972
Arizona,2015,184476
Arizona,2016,192103
Arizona,2017,163214
Arkansas,2015,76673
Arkansas,2016,72033
Arkansas,2017,69850
California,2015,643710
California,2016,657690
California,2017,661026
Colorado,2015,182945
Colorado,2016,193179
Colorado,2017,194296
Connecticut,2015,103343
Connecticut,2016,112914
Connecticut,2017,98971
Delaware,2015,30881
Delaware,2016,28742
Delaware,2017,35653
District of Columbia ,2015,64736
District of Columbia ,2016,59972
District of Columbia ,2017,65018
Florida,2015,445320
Florida,2016,433452
Florida,2017,447586
Georgia,2015,249302
Georgia,2016,258942
Georgia,2017,254956
Hawaii,2015,60459
Hawaii,2016,64119
Hawaii,2017,66597
Idaho,2015,55885
Idaho,2016,55772
Idaho,2017,56954
Illinois,2015,337592
Illinois,2016,345528
Illinois,2017,339435
Indiana,2015,141616
Indiana,2016,137409
Indiana,2017,132094
Iowa,2015,81054
Iowa,2016,76999
Iowa,2017,79358
Kansas,2015,99652
Kansas,2016,92821
Kansas,2017,99660
Kentucky,2015,109026
Kentucky,2016,103370
Kentucky,2017,99490
Louisiana,2015,100167
Louisiana,2016,92190
Louisiana,2017,102212
Maine,2015,37053
Maine,2016,32973
Maine,2017,27425
Maryland,2015,181803
Maryland,2016,186118
Maryland,2017,183900
Massachusetts,2015,174793
Massachusetts,2016,176873
Massachusetts,2017,173033
Michigan,2015,180337
Michigan,2016,156354
Michigan,2017,148059
Minnesota,2015,127471
Minnesota,2016,121583
Minnesota,2017,125130
Mississippi,2015,81358
Mississippi,2016,77509
Mississippi,2017,78043
Missouri,2015,155529
Missouri,2016,159177
Missouri,2017,153284
Montana,2015,32620
Montana,2016,31479
Montana,2017,28012
Nebraska,2015,53210
Nebraska,2016,47456
Nebraska,2017,47760
Nevada,2015,99409
Nevada,2016,88563
Nevada,2017,98226
New Hampshire,2015,41885
New Hampshire,2016,45628
New Hampshire,2017,41740
New Jersey,2015,227380
New Jersey,2016,226830
New Jersey,2017,224961
New Mexico,2015,68415
New Mexico,2016,65578
New Mexico,2017,67296
New York,2015,448855
New York,2016,450136
New York,2017,452580
North Carolina,2015,237206
North Carolina,2016,256563
North Carolina,2017,243206
North Dakota,2015,31867
North Dakota,2016,37658
North Dakota,2017,37344
Ohio,2015,213236
Ohio,2016,212041
Ohio,2017,206479
Oklahoma,2015,98771
Oklahoma,2016,105685
Oklahoma,2017,96005
Oregon,2015,109240
Oregon,2016,107169
Oregon,2017,109454
Pennsylvania,2015,262887
Pennsylvania,2016,257792
Pennsylvania,2017,254634
Rhode Island,2015,29918
Rhode Island,2016,35606
Rhode Island,2017,30166
South Carolina,2015,134555
South Carolina,2016,127686
South Carolina,2017,128797
South Dakota,2015,25769
South Dakota,2016,29654
South Dakota,2017,27412
Tennessee,2015,176961
Tennessee,2016,182813
Tennessee,2017,155665
Texas,2015,445343
Texas,2016,444340
Texas,2017,467338
Utah,2015,84071
Utah,2016,85803
Utah,2017,89721
Vermont,2015,22135
Vermont,2016,23693
Vermont,2017,20872
Virginia,2015,268593
Virginia,2016,275671
Virginia,2017,262563
Washington,2015,178528
Washington,2016,192362
Washington,2017,198813
West Virginia,2015,51953
West Virginia,2016,51476
West Virginia,2017,43321
Wisconsin,2015,109243
Wisconsin,2016,113882
Wisconsin,2017,113492
Wyoming,2015,31537
Wyoming,2016,27184
Wyoming,2017,25954
