target,year,flow
Alabama,2005,111614
Alabama,2006,137771
Alabama,2007,137795
Alabama,2008,120858
Alabama,2009,124075
Alabama,2010,108723
Alabama,2011,117726
Alabama,2012,104600
Alabama,2013,104102
Alabama,2014,107919
Alabama,2015,114876
Alabama,2016,122220
Alabama,2017,111803
Alaska,2005,31114
Alaska,2006,37672
Alaska,2007,36367
Alaska,2008,40207
Alaska,2009,40426
Alaska,2010,36326
Alaska,2011,35084
Alaska,2012,33415
Alaska,2013,34360
Alaska,2014,37842
Alaska,2015,34696
Alaska,2016,31300
Alaska,2017,30199
Arizona,2005,288960
Arizona,2006,287071
Arizona,2007,262787
Arizona,2008,241357
Arizona,2009,225990
Arizona,2010,222725
Arizona,2011,222877
Arizona,2012,232457
Arizona,2013,236146
Arizona,2014,249730
Arizona,2015,253281
Arizona,2016,273257
Arizona,2017,261727
Arkansas,2005,96839
Arkansas,2006,106701
Arkansas,2007,89148
Arkansas,2008,88544
Arkansas,2009,85553
Arkansas,2010,79127
Arkansas,2011,69845
Arkansas,2012,76948
Arkansas,2013,70621
Arkansas,2014,74741
Arkansas,2015,81594
Arkansas,2016,71083
Arkansas,2017,79411
California,2005,448718
California,2006,522105
California,2007,491058
California,2008,467388
California,2009,458682
California,2010,444749
California,2011,468428
California,2012,493641
California,2013,485477
California,2014,513968
California,2015,514477
California,2016,514758
California,2017,523131
Colorado,2005,169127
Colorado,2006,194768
Colorado,2007,197883
Colorado,2008,196319
Colorado,2009,182641
Colorado,2010,186366
Colorado,2011,202124
Colorado,2012,205060
Colorado,2013,206543
Colorado,2014,218728
Colorado,2015,227445
Colorado,2016,223260
Colorado,2017,226933
Connecticut,2005,78657
Connecticut,2006,86070
Connecticut,2007,78663
Connecticut,2008,78846
Connecticut,2009,76341
Connecticut,2010,77333
Connecticut,2011,71502
Connecticut,2012,80311
Connecticut,2013,88351
Connecticut,2014,82746
Connecticut,2015,76997
Connecticut,2016,75586
Connecticut,2017,83325
Delaware,2005,35000
Delaware,2006,31627
Delaware,2007,40392
Delaware,2008,41628
Delaware,2009,34879
Delaware,2010,30759
Delaware,2011,33912
Delaware,2012,34757
Delaware,2013,36790
Delaware,2014,32166
Delaware,2015,44495
Delaware,2016,33400
Delaware,2017,38532
District of Columbia ,2005,37309
District of Columbia ,2006,48880
District of Columbia ,2007,47654
District of Columbia ,2008,44534
District of Columbia ,2009,38760
District of Columbia ,2010,51244
District of Columbia ,2011,48066
District of Columbia ,2012,53830
District of Columbia ,2013,46571
District of Columbia ,2014,56234
District of Columbia ,2015,59905
District of Columbia ,2016,58154
District of Columbia ,2017,56231
Florida,2005,632168
Florida,2006,599021
Florida,2007,493527
Florida,2008,489688
Florida,2009,461088
Florida,2010,482889
Florida,2011,498597
Florida,2012,537148
Florida,2013,529406
Florida,2014,546501
Florida,2015,584938
Florida,2016,605018
Florida,2017,566476
Georgia,2005,313631
Georgia,2006,376172
Georgia,2007,336016
Georgia,2008,289589
Georgia,2009,277990
Georgia,2010,249459
Georgia,2011,271077
Georgia,2012,277466
Georgia,2013,278972
Georgia,2014,274095
Georgia,2015,283325
Georgia,2016,305040
Georgia,2017,278889
Hawaii,2005,49063
Hawaii,2006,60825
Hawaii,2007,51973
Hawaii,2008,55491
Hawaii,2009,53270
Hawaii,2010,53581
Hawaii,2011,57542
Hawaii,2012,55145
Hawaii,2013,58083
Hawaii,2014,58144
Hawaii,2015,53742
Hawaii,2016,57229
Hawaii,2017,46457
Idaho,2005,68337
Idaho,2006,75627
Idaho,2007,66226
Idaho,2008,64791
Idaho,2009,57710
Idaho,2010,55638
Idaho,2011,60336
Idaho,2012,59283
Idaho,2013,61592
Idaho,2014,64633
Idaho,2015,73809
Idaho,2016,71556
Idaho,2017,71899
Illinois,2005,208876
Illinois,2006,234910
Illinois,2007,232514
Illinois,2008,222248
Illinois,2009,205621
Illinois,2010,203959
Illinois,2011,216204
Illinois,2012,208755
Illinois,2013,223605
Illinois,2014,209536
Illinois,2015,209828
Illinois,2016,203713
Illinois,2017,195092
Indiana,2005,128798
Indiana,2006,161010
Indiana,2007,149903
Indiana,2008,160875
Indiana,2009,132559
Indiana,2010,127353
Indiana,2011,127874
Indiana,2012,134137
Indiana,2013,133508
Indiana,2014,139846
Indiana,2015,147529
Indiana,2016,145782
Indiana,2017,142290
Iowa,2005,80510
Iowa,2006,86824
Iowa,2007,82676
Iowa,2008,79306
Iowa,2009,74319
Iowa,2010,72557
Iowa,2011,70405
Iowa,2012,75760
Iowa,2013,75650
Iowa,2014,79194
Iowa,2015,85937
Iowa,2016,78263
Iowa,2017,77072
Kansas,2005,79331
Kansas,2006,107927
Kansas,2007,86390
Kansas,2008,100310
Kansas,2009,102605
Kansas,2010,95059
Kansas,2011,83640
Kansas,2012,88284
Kansas,2013,89735
Kansas,2014,96467
Kansas,2015,91340
Kansas,2016,88830
Kansas,2017,86154
Kentucky,2005,100469
Kentucky,2006,122254
Kentucky,2007,123463
Kentucky,2008,107455
Kentucky,2009,121261
Kentucky,2010,118443
Kentucky,2011,110031
Kentucky,2012,112787
Kentucky,2013,103207
Kentucky,2014,104975
Kentucky,2015,106918
Kentucky,2016,113238
Kentucky,2017,103985
Louisiana,2005,74653
Louisiana,2006,95941
Louisiana,2007,127684
Louisiana,2008,110732
Louisiana,2009,90686
Louisiana,2010,97889
Louisiana,2011,99138
Louisiana,2012,91215
Louisiana,2013,91889
Louisiana,2014,97814
Louisiana,2015,93321
Louisiana,2016,85371
Louisiana,2017,72836
Maine,2005,36982
Maine,2006,37670
Maine,2007,34397
Maine,2008,33621
Maine,2009,24672
Maine,2010,27758
Maine,2011,33818
Maine,2012,27523
Maine,2013,36780
Maine,2014,39065
Maine,2015,30123
Maine,2016,38590
Maine,2017,34252
Maryland,2005,163474
Maryland,2006,180719
Maryland,2007,150697
Maryland,2008,158861
Maryland,2009,174277
Maryland,2010,164484
Maryland,2011,153979
Maryland,2012,154983
Maryland,2013,161525
Maryland,2014,156787
Maryland,2015,168894
Maryland,2016,158647
Maryland,2017,165654
Massachusetts,2005,106667
Massachusetts,2006,141242
Massachusetts,2007,133784
Massachusetts,2008,147326
Massachusetts,2009,145559
Massachusetts,2010,140162
Massachusetts,2011,139830
Massachusetts,2012,142577
Massachusetts,2013,135150
Massachusetts,2014,146622
Massachusetts,2015,132642
Massachusetts,2016,149408
Massachusetts,2017,146299
Michigan,2005,123643
Michigan,2006,138768
Michigan,2007,131343
Michigan,2008,125740
Michigan,2009,117460
Michigan,2010,116149
Michigan,2011,139158
Michigan,2012,133981
Michigan,2013,144091
Michigan,2014,149991
Michigan,2015,142639
Michigan,2016,155874
Michigan,2017,148787
Minnesota,2005,100169
Minnesota,2006,111337
Minnesota,2007,103121
Minnesota,2008,97506
Minnesota,2009,90944
Minnesota,2010,89872
Minnesota,2011,101029
Minnesota,2012,101042
Minnesota,2013,104825
Minnesota,2014,106783
Minnesota,2015,108476
Minnesota,2016,111307
Minnesota,2017,115623
Mississippi,2005,79035
Mississippi,2006,82208
Mississippi,2007,81842
Mississippi,2008,72948
Mississippi,2009,67142
Mississippi,2010,72321
Mississippi,2011,68511
Mississippi,2012,73500
Mississippi,2013,68588
Mississippi,2014,73927
Mississippi,2015,69351
Mississippi,2016,64639
Mississippi,2017,73549
Missouri,2005,143499
Missouri,2006,162634
Missouri,2007,165952
Missouri,2008,155694
Missouri,2009,150205
Missouri,2010,145226
Missouri,2011,149439
Missouri,2012,162930
