,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico
United States1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,N/A,982,"1,183",373,"4,447","1,191",130,212,99,"15,799","20,889",786,"1,072","3,177","3,946",458,457,"1,765","4,174",710,"2,709",104,"3,964",621,"7,941","1,069",456,0,567,99,664,404,"2,463","7,152",39,"3,265","1,316",125,"1,015",448,"2,445",0,"7,948","8,718",382,0,"5,821",991,215,"1,026",258,N/A,583
Alaska,"1,390",N/A,"1,285",209,"3,780","1,460",313,86,47,"2,581","3,114",374,743,271,643,246,49,155,"1,975",129,642,24,748,"1,753",91,782,"1,372",40,314,38,327,70,718,288,17,"1,292",407,"1,342",476,0,375,314,"1,229","2,729",786,0,264,"3,620",0,"1,048",470,N/A,48
Arizona,392,"2,249",N/A,"1,818","46,921","7,836","1,418",131,890,"4,931","6,076","3,943","2,737","13,111","4,992","3,219","2,461",830,"1,741",806,"1,265","1,764","10,923","6,161",388,"3,606","1,149","3,224","8,666","1,114","2,094","8,707","4,775","3,996","1,039","4,829","1,594","5,407","4,344",282,914,"1,191",215,"12,278","7,997",61,"4,521","11,148",781,"3,795","1,260",N/A,467
Arkansas,443,968,"1,365",N/A,"4,837","2,497",153,0,0,"3,264","1,090",396,499,"3,758","1,032",292,"2,776","1,684","4,905",424,654,224,"1,905","1,130","3,059","7,652",0,198,"2,079",165,315,574,"1,803","1,245",0,"1,128","7,538",798,236,0,796,155,"7,667","14,036",499,0,191,520,29,459,115,N/A,304
California,"2,889","5,332","34,040","3,539",N/A,"16,798","4,906",453,"1,951","18,769","10,819","13,042","7,446","16,415","6,411","3,576","4,782","1,996","3,171","1,216","11,905","10,171","10,741","7,126","2,516","8,651","2,102","2,400","32,333","1,817","6,142","7,057","26,083","10,802",741,"7,657","2,766","21,270","8,111","1,264","5,219",917,"7,010","35,104","13,401","1,046","14,464","33,408",835,"6,958","1,114",N/A,"1,479"
Colorado,"1,774","1,215","9,378","2,463","21,223",N/A,"1,344",253,"1,057","7,085","4,499","1,818","1,446","5,686","5,621","2,852","3,934",494,"1,204",639,"1,949","2,544","5,684","4,494",946,"4,087","1,283","4,118","5,320",577,"1,540","8,038","3,996","4,565",227,"2,316","4,206","2,646","2,613",449,"1,919","1,010","1,755","19,214","5,259",324,"4,172","4,325",468,"2,982","5,630",N/A,213
Connecticut,"1,963",504,629,14,"5,041","1,815",N/A,409,239,"6,286","2,216",369,0,"1,514",583,0,766,470,114,234,"2,796","8,136",621,14,261,192,75,0,153,"2,932","2,415",120,"19,313","1,426",0,"1,458",125,161,"2,799","2,123",857,0,509,"1,312",425,"1,032","2,478","1,163",0,74,205,N/A,"5,205"
Delaware,365,143,494,0,575,178,809,N/A,82,921,800,0,0,724,62,0,48,0,90,72,"4,573","1,812",262,0,0,0,0,60,0,273,"3,851",54,"3,351",317,0,859,0,55,"9,068",43,444,59,234,429,496,0,"3,215",14,47,0,0,N/A,206
District of Columbia ,203,240,32,106,"2,980",505,288,571,N/A,"2,275",900,145,0,"1,370",0,33,95,114,0,390,"9,960","1,084",259,194,0,102,66,57,147,72,"1,232",0,"3,647","1,276",0,373,57,285,"1,705",68,345,58,89,819,76,161,"5,586",190,207,344,54,N/A,147
